nome;sigla;natureza;categoria;projeto;tipo_logradouro;nome_logradouro;numero;complemento;bairro;municipio;uf;cep;ddd;telefone1;telefone2;e-mail;24horas;horario_inicio;horario_fim;dias_funcionamento;presencial;online;funcionamento_pandemia;obs_pandemia;latitude;longitude;verificado;existe_delegacia;delegacia_mulher;endereco_correto;horario_correto;telefone_correto;observacao 
Delegacia Especial da Mulher - Bacabal;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Eurico Gaspar Dutra;s/n;;Centro;Bacabal;MA;65700-000;99;36211331;;;;;;;;;;;-4,2292828;-44,78563;Não;;;;;;
Delegacia Especializada no Atendimento à Mulher - Açailândia;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Marly Sarney;s/n;;Centro;Açailândia;MA;65930-000;99;35382199;35384092;;;;;;;;;;-4,9502507;-47,5002185;Não;;;;;;
Delegacia Especializada no Atendimento à Mulher - Balsas;DEAM;público;Delegacia da Mulher;mapa_delegacia;Avenida;Juscelino Kubitscheck;s/n;;São Luís;Balsas;MA;65800-000;99;35412402;;;;;;;;;;;-7,507588;-46,0411211;Não;;;;;;
Delegacia Especializada no Atendimento à Mulher - Barra do Corda;DEAM;público;Delegacia da Mulher;mapa_delegacia;Avenida;Missionário Perrin Smith;171;;Vila Canadá;Barra do Corda;MA;65950-000;99;36432852;;;;;;;;;;;-5,508604;-45,2547792;Não;;;;;;
Delegacia Especializada no Atendimento à Mulher - Caxias;DEAM;público;Delegacia da Mulher;mapa_delegacia;Praça;do Pantheon;s/n;;Centro;Caxias;MA;65602-000;99;35212561;;;;;;;;;;;-4,8633072;-43,3655969;Não;;;;;;
Delegacia Especializada no Atendimento à Mulher - Chapadinha;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Gonçalves Dias;s/n;;São José;Chapadinha;MA;65500-000;98;34713760;;;;;;;;;;;-3,7348087;-43,3624294;Não;;;;;;
Delegacia Especializada no Atendimento à Mulher - Codó;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Trinta e Um de Março;s/n;;São Pedro;Codó;MA;65400-000;99;36611721;;;;;;;;;;;-4,457833;-43,8958042;Não;;;;;;
Delegacia Especializada no Atendimento à Mulher - Imperatriz;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Sousa Lima;167;;Centro;Imperatriz;MA;65907-150;99;35246722;35251545;deam.10reg@hotmail.com;;;;;;;;;-5,5252885;-47,4890184;Não;;;;;;
Delegacia Especializada no Atendimento à Mulher - Itapecuru Mirim;DEAM;público;Delegacia da Mulher;mapa_delegacia;Travessa;Doutor Salomão Figuene;59;;Centro;Itapecuru Mirim;MA;65485-000;98;34631511;;;;;;;;;;;-3,3975042;-44,3631199;Não;;;;;;
Delegacia Especializada no Atendimento à Mulher - Pedreiras;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Messias Filho;s/n;;Engenho;Pedreiras;MA;65725-000;99;36422450;;;;;;;;;;;-4,5873431;-44,5863226;Não;;;;;;
Delegacia Especializada no Atendimento à Mulher - Pinheiro;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Dom Pedro I;s/n;;João Castelo;Pinheiro;MA;65200-000;98;33811334;;;;;;;;;;;-2,5312796;-45,0932601;Não;;;;;;
Delegacia Especializada no Atendimento à Mulher - Presidente Dutra;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Henrique Coelho;s/n;;Vila Militar;Presidente Dutra;MA;65760-000;99;36633502;;;;;;;;;;;-5,2955828;-44,499051;Não;;;;;;
Delegacia Especializada no Atendimento à Mulher - Rosário;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Padre Possidônio Monteiro;s/n;;Centro;Rosário;MA;65150-000;98;33451913;;pollys21@hotmail.com;;;;;;;;;-2,9405833;-44,2558683;Não;;;;;;
Delegacia Especializada no Atendimento à Mulher - Santa Inês;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Nova;320;;Centro;Santa Inês;MA;65300-000;98;36531589;;;;;;;;;;;-3,6603886;-45,3795567;Não;;;;;;
Delegacia Especializada no Atendimento à Mulher - São João dos Patos;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Gonçalves Moreira;766;;Centro;São João dos Patos;MA;65665-000;99;35512402;;reg.saojoaodospatos12@hotmail.com;;;;;;;;;-6,4970853;-43,7067307;Não;;;;;;
Delegacia Especializada no Atendimento à Mulher - Timon;DEAM;público;Delegacia da Mulher;mapa_delegacia;Avenida;Viana Vaz;186;;Centro;Timon;MA;65630-150;99;32127171;;;;;;;;;;;-5,0969957;-42,8267578;Não;;;;;;
Delegacia Especializada no Atendimento à Mulher - Viana;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Vinagre;;2-242;Centro;Viana;MA;65215-000;98;33511599;;;;;;;;;;;-3,2021201;-44,9918421;Não;;;;;;
Delegacia Especializada no Atendimento à Mulher - Zé Doca;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Penalva;761;;São Francisco;Zé Doca;MA;65365-000;98;36555350;;reg.zedoca8@hotmail.com;;;;;;;;;-3,2646988;-45,6541442;Não;;;;;;
Delegacia da Mulher - Belo Horizonte;DEAM;público;Delegacia da Mulher;mapa_delegacia;Avenida;Barbacena;288;;Barro Preto;Belo Horizonte;MG;30190-130;31;33374899;;coordenacaodemid@gmail.com;;;;;;;;;-19,921259;-43,955065;Não;;;;;;
Delegacia da Mulher - Contagem;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Manoel Teixeira de Camargos;63;;Eldorado;Contagem;MG;32340-040;31;33917953;;mulheres.contagem@pc.mg.gov.br;;;;;;;;;-19,934075;-44,045684;Não;;;;;;
Delegacia Especializada de Atendimento à Mulher - Uberlândia;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Nicomedes Alves Dos Santos;727;;Lidice;Uberlândia;MG;38400-170;34;32108304;;deam.uberlandia@policiacivil.mg.gov.br;Não;08:00;18:00;Dias úteis;Sim;Não;Sim;;-18,929135;-48,277924;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia de Polícia Civil - Acucena;DP;público;Delegacia Comum;mapa_delegacia;Rua;Concesso Barbosa;47;;Centro;Açucena;MG;35150-000;31;32981180;;aisp320@policiacivil.mg.gov.br;Não;08:30;17:30;Dias úteis;Sim;Não;Sim;;-19,0764;-42,5479;Sim;Sim;Não;Sim;Não;Sim;
Delegacia de Policial Civil - Abaete;DP;público;Delegacia Comum;mapa_delegacia;Rua;Inacio de Oliveira Campos;335;;Amazonas;Abaete;MG;35620-000;37;35411489;;comarca.abaete@pc.mg.gov.br;Não;08:30;18:00;Dias úteis;Sim;Sim;Sim;;-19,15634;-45,438833;Sim;Sim;Não;Sim;Sim;Sim;
Delegacia Especializada de Atendimento à Mulher - Vespasiano;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Modestino Fonseca Cota;369;;Jardim Itau;Vespasiano;MG;33200-546;31;36210512;;camilasoaresteixeira@yahoo.com.br;Não;08:30;18:30;Dias úteis;Sim;Sim;Sim;;-19,695356;-43,928791;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia Especializada de Atendimento à Mulher - Ribeirão Neves;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Luiza Augusta Guimarães;150;;São Pedro;Ribeirão das Neves;MG;33805-550;31;36244709;;deopf.neves@gmail.com;Não;08:30;17:30;Dias úteis;Sim;Sim;Sim;;-19,771171;-44,090953;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia Especializada de Atendimento à Mulher - Santa Luzia;DEAM;público;Delegacia da Mulher;mapa_delegacia;Avenida;Brasília;3550;;São Benedito;Santa Luzia;MG;33110-580;31;36493514;;deam.santaluzia@policiacivil.mg.gov.br;Não;14:00;17:30;Dias úteis;Sim;Sim;Sim;Houve mudança no hórario de atendimento ;-19,784499;-43,916107;Sim;Sim;Sim;Sim;Não;Sim;O atendimento para B.O. durante a pandemia só está sendo realizado à tarde.
Delegacia Especializada de Atendimento à Mulher - Sabara;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;João Pinheiro da Silva;25;;Campo Santo Antônio;Sabará;MG;34515-410;31;36741528;;deamsabara@gmail.com;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-19,889387;-43,797796;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia da Mulher - Ibirite;DEAM;público;Delegacia da Mulher;mapa_delegacia;Avenida ;Otacilio Negrão de Lima;468;;Centro;Ibirite;MG;32400-000;31;32577354;;informacao.deamibirite@gmail.com;;;;;;;;;-20,021952;-44,063268;Não;;;;;;
Delegacia Especializada de Atendimento à Mulher - Betim;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Cecilia Julia do Prado;255;;Centro;Betim;MG;32600-166;31;34385911;;deopf.betim@pc.mg.gov.br;Não;08:00;11:30;Dias úteis;Sim;Sim;Sim;Houve mudança no hórario de atendimento ;-19,972277;-44,19147;Sim;Sim;Sim;Sim;Não;Sim;O atendimento para B.O. durante a pandemia só está sendo realizado pela manhã
Delegacia Especializada de Atendimento à Mulher - Nova Lima;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Joviano Assis Fonseca;41;;Cariocas;Nova Lima;MG;34000-000;31;35424172;;1dpnovalima@gmail.com;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-19,983774;-43,863446;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia de Policia Civil - Abre Campo;DP;público;Delegacia Comum;mapa_delegacia;Rua;José Lopes Salgado;1;;Ferreira;Abre Campo;MG;35365-000;31;38721224;;depol.abrecampo@policiacivil.mg.gov.br;Não;08:00;18:00;Dias úteis;Sim;Não;Sim;;-20,307412;-42,480328;Sim;Sim;Não;Sim;Sim;Sim;
Delegacia de Plantão Especializada em Atendimento à Mulher, Criança, Adolescente e Vítimas de Intolerâncias - Belo Horizonte;DPEAMCAVI;público;Delegacia da Mulher;mapa_delegacia;Avenida;Barbacena;288;;Barro Preto;Belo Horizonte;MG;30190-130;31;33301928;;afitaro@yahoo.com.br;;;;;;;;;-19,921259;-43,955065;Não;;;;;;
Delegacia de Atendimento à Mulher - Jardim;DAM;público;Delegacia da Mulher;mapa_delegacia;Avenida;Fernando Aranha;1055;;Centro;Jardim;MS;79240-000;67;32516397;;damjardim@pc.ms.gov;Não;07:30;17:30;Dias úteis;Sim;Sim;Sim;;-21,4746976;-56,1375934;Sim;Sim;Sim;Sim;Não;Sim;Delegacia fecha para almoço das 11h30 ás 13h30
Delegacia de Atendimento à Mulher - Parnaíba;DAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Rui Barbosa;1680;;Jardim Brasília;Paranaíba;MS;79500-000;67;35031266;;damparanaiba@pc.ms.gov.br;Não;07:30;17:30;Dias úteis;Sim;Sim;Sim;;-19,6762771;-51,1829149;Sim;Sim;Sim;Sim;Não;Sim;Delegacia fecha para almoço das 11h30 ás 13h30 
Delegacia da Mulher - Fátima do Sul;DAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Presidente Dutra;1261;;Centro;Fátima do Sul;MS;79700-000;67;34671622;;dam.fms@pc.ms.gov.br;Não;07:30;17:30;Dias úteis;Sim;Sim;Sim;;-22,373376;-54,5179767;Sim;Sim;Sim;Sim;Não;Sim;Delegacia fecha para almoço das 11h30 ás 13h30
Delegacia Especializada no Atendimento à Mulher - Coxim;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;General Mendes de Moraes;230;;centro;Coxim;MS;79400-000;67;32911338;;damcoxim@pc.ms.gov.br;Não;07:30;17:30;Dias úteis;Sim;Sim;Sim;;-18,5070885;-54,7579394;Sim;Sim;Sim;Sim;Não;Sim;Delegacia fecha para almoço das 11h30 ás 13h30
Delegacia de Atendimento à Mulher - Corumbá;DAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Major Gama;290;;Centro;Corumbá;MS;79330-000;67;32349904;32349923;dam@corumba.ms.gov.br;Não;08:00;17:00;Dias úteis;Sim;Sim;Sim;;-19,0010832;-57,6598407;Sim;Sim;Sim;Sim;Não;Sim;Delegacia fecha para almoço das 11h00 ás 13h00
1ª Delegacia Especializada de Atendimento à Mulher - Campo Grande;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Brasília;s/n;;Jardim Imá;Campo Grande;MS;79002-121;67;40421324;;1deam.cg@pc.ms.gov.br;Sim;00:00;23:59;Dias úteis;Sim;Sim;Sim;;-20,4577928;-54,6649277;Sim;Sim;Sim;Sim;Não;Sim;
Delegacia de Atendimento à Mulher - Aquidauana;DAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Sete de Setembro;1416;;Guanandy;Aquidauana;MS;79200-000;67;32411172;;damaquidauana@pc.ms.gov.br;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-20,4695753;-55,7969153;Sim;Sim;Sim;Sim;Não;Sim;Delegacia fecha para almoço das 12h ás 14h
Delegacia de Atendimento à Mulher - Três Lagoas;DAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Doutor Oscar Guimarães;1655;;Centro;Três Lagoas;MS;79600-021;67;35210227;35219056;dam.tlagoas@pc.ms.gov.br;Não;07:30;17:30;Dias úteis;Sim;Sim;Sim;;-20,7769538;-51,7052518;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia de Atendimento à Mulher - Nova Andradina;DAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Santo Antonio;1094;;Centro;Nova Andradina;MS;79750-000;67;34418261;34415047;dam.nandradina@pc.ms.gov.br;Não;07:30;17:30;Dias úteis;Sim;Sim;Sim;;-22,2452112;-53,3518852;Sim;Sim;Sim;Sim;Não;Sim;Delegacia fecha para almoço das 11h30 ás 13h30
Delegacia Especializada no Atendimento à Mulher - Dourados;DAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Projetada B;820;;Vila Bela;Dourados;MS;79400-000;67;34211177;;damdourados@pc.ms.gov.br;Não;07:30;17:30;Dias úteis;Sim;Sim;Sim;;-22,2471584;-54,8157409;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia de Atendimento à Mulher - Ponta Porã;DAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Sete de Setembro;617;;Centro;Ponta Porã;MS;79900-000;67;34313771;;dam.ppora@pc.ms.gov.br;Não;08:00;17:00;Dias úteis;Sim;Sim;Sim;;-22,5367234;-55,7269156;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia de Atendimento à Mulher - Naviraí;DAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Irineu Bonicontro;74;;Jardim Progresso;Naviraí;MS;79950-000;67;34615182;;damnavirai@pc.ms.gov.br;Não;07:30;17:30;Dias úteis;Sim;Sim;Sim;;-23,0588021;-54,2100382;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia Especializada de Defesa da Mulher - Tangará da Serra;DEAM;público;Delegacia da Mulher;mapa_delegacia;Avenida;Brasil;620;Esquina com Avenida Vinte e Oito;Centro;Tangará da Serra;MT;78300-000;65;33253413;;;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-14,6163694;-57,4850409;Sim;Sim;Sim;Sim;Não;Sim;Delegacia fecha para almoço das 12h ás 14h
Delegacia Especializada de Defesa da Mulher - Cuiabá;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Joaquim Murtinho;789;;Centro Sul;Cuiabá;MT;78020-290;65;39014277;;dmulhercba@pjc.mt.gov.br;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-15,6018929;-56,1025913;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia da Mulher - Várzea Grande;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Almirante Barroso;298;;Centro Sul;Várzea Grande;MT;78110-490;65;36851236;36852838;ddefmulhervg@pjc.mt.gov.br;;;;;;;;;-15,6556051;-56,1319621;Não;;;;;;
Delegacia Especializada de Defesa da Mulher - Barra do Garças;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Carajás;1156;;Centro;Barra do Garças;MT;78600-000;66;34011388;;dmulherbg@pjc.mt.gov.br;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-15,8895149;-52,2641041;Sim;Sim;Sim;Sim;Não;Sim;Delegacia fecha para almoço das 12h ás 14h
Delegacia Especializada de Defesa da Mulher - Cáceres;DEAM;público;Delegacia da Mulher;mapa_delegacia;Avenida;General Osório;1084;;Centro;Cáceres;MT;78200-000;65;32235257;32241160;dedmcac@pjc.mt.go.br;Não;07:30;13:30;Dias úteis;Sim;Sim;Sim;Houve mudança no hórario de atendimento;-16,0730128;-57,6912238;Sim;Sim;Sim;Sim;Não;Sim;Pode fazer o B.O. no plantão 24hrs fora do horário de atendimento
Delegacia Especializada de Defesa da Mulher - Rondonópolis;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Armando Fajardo;372;;Vila Aurora I;Rondonópolis;MT;78740-036;66;34231133;34231754;dmulherroo@pjc.mt.gov.br;Não;07:30;13:00;Dias úteis;Sim;Sim;Sim;Houve mudança no hórario de atendimento;-16,4727227;-54,6213848;Sim;Sim;Sim;Sim;Não;Sim;Pode fazer o B.O. no plantão 24hrs fora do horário de atendimento
Delegacia da Mulher - Abaetetuba;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Pedro Pinheiro Paes;226;;Centro;Abaetetuba;PA;68440-000;91;37515110;;abaetetubadeam@policiacivil.pa.gov.br;;;;;;;;;-1,725345;-48,89035;Não;;;;;;
Delegacia da Mulher - Altamira;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Curitiba;s/n;;Jardim dos Estados;Altamira;PA;68372-020;93;35155422;;deamaltamira@policiacivil.pa.gov.br;;;;;;;;;-3,217327;-52,237215;Não;;;;;;
Delegacia da Mulher - Barcarena;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Cronje da Silveira;225;;Beira Rio;Barcarena;PA;68445-000;;;;;;;;;;;;;-1,5116284;-48,6273397;Não;;;;;;
Delegacia da Mulher - Belém;DEAM;público;Delegacia da Mulher;mapa_delegacia;Travessa;Mauriti;2394;;Marco;Belém;PA;66093-180;91;32466803;32464832;deam@policiacivil.pa.gov.br;;;;;;;;;-1,434054;-48,463542;Não;;;;;;
Delegacia da Mulher - Bragança;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Martins Pinheiro;s/n;;Alegre;Bragança;PA;66600-000;;;;propaz.braganca@policiacivil.pa.gov.br;;;;;;;;;-1,059111;-46,770435;Não;;;;;;
Delegacia da Mulher - Breves;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Angelo Fernandes Breves;s/n;;Aeroporto;Breves;PA;68800-000;91;37834200;;deam.breves@policiacivil.pa.gov.br;;;;;;;;;-1,680234;-50,470975;Não;;;;;;
Delegacia da Mulher - Capanema;DEAM;público;Delegacia da Mulher;mapa_delegacia;Avenida;João Paulo II;1660;;Tancredo Neves;Capanema;PA;68700-050;;;;;;;;;;;;;-1,198306;-47,180949;Não;;;;;;
Delegacia da Mulher - Maraba;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Folha 10;s/n;Quadra 15, Lote 12;Nova Marabá;Maraba;PA;68513-140;94;33214800;;maraba.deam@policiacivil.pa.gov.br;;;;;;;;;-5,3304868;-49,0915858;Não;;;;;;
Delegacia da Mulher - Paragominas;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;do Quartel;s/n;Via Rua Insdutrial;Em frente ao quartel;Paragominas;PA;68625-000;91;37291068;;deamparagominas@policiacivil.pa.gov.br;;;;;;;;;-3,0053744;-47,3588108;Não;;;;;;
Delegacia da Mulher - Redenção;DEAM;público;Delegacia da Mulher;mapa_delegacia;Avenida;Marechal Rondon;s/n;;Jardim Cumaru;Redenção;PA;68550-250;94;34248566;;deamredencao@policiacivil.pa.gov.br;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-8,031543;-50,017738;Não;;;;;;Delegacia fecha para almoço das 12h ás 14h
Delegacia da Mulher - Soure;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;da Matriz;s/n;;Centro;Soure;PA;68870-000;91;37411350;;soure@policiacivil.pa.gov.br;;;;;;;;;-0,7279396;-48,5196619;Não;;;;;;
Delegacia Especializada de Atendimento à Mulher - Castanhal;DEAM;público;Delegacia da Mulher;mapa_delegacia;Travessa;Primeiro de Maio;1376;;Centro;Castanhal;PA;68740-000;91;37123928;;castanhal.deam@policiacivil.pa.gov.br;Não;08:00;17:00;Dias úteis;Sim;Sim;Sim;Houveram mudanças, mas já voltou ao funcionamento normal;-1,29607;-47,929859;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia da Mulher - Ananindeua;DEAM;público;Delegacia da Mulher;mapa_delegacia;Travessa;We 31;1112;;Cidade Nova;Ananindeua;PA;67133-140;91;;;;Sim;00:00;23:59;Todos os dias;Sim;Sim;Sim;;-1,361214;-48,394399;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia da Polícia - Marituba;DP;público;Delegacia Comum;mapa_delegacia;Rua;Cláudio Barbosa da Silva;s/n;;Centro;Marituba;PA;67000-000;91;32566414;32566415;marituba@policiacivil.pa.gov.br;Sim;00:00;23:59;Todos os dias;Sim;Sim;Sim;;-1,366879;-48,346464;Sim;Sim;Sim;Não;Sim;Sim;
Delegacia de Atendimento à Mulher - Tucuruí;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;São Paulo;s/n;;Bela Vista;Tucuruí;PA;68455-100;94;37873340;;tucurui.deam@policiacivil.pa.gov.br;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;Agora tem B.O. online;-3,768291;-49,676425;Sim;Sim;Sim;Não;Sim;Sim;
Delegacia da Mulher - Itaituba;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Primeira;s/n;;Floresta;Itaituba;PA;68181-270;93;35187091;;deamitaituba@policiacivil.pa.gov.br;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-4,267449;-55,993309;Sim;Sim;Sim;Sim;Sim;Sim;Delegacia fecha para almoço das 12h ás 14h
Delegacia da Mulher - Cajazeiras;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Romualdo Rolim;636;;Remédio;Cajazeiras;PB;58900-000;83;35317005;;;Sim;00:00;23:59;Todos os dias;Sim;Sim;Sim;O atendimento está mais restrito;-6,547342;-38,596142;Não;;;;;;
Delegacia da Mulher - Campina Grande;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Sebastião Donato;133;;Centro;Campina Grande;PB;58400-283;83;33109309;33109310;;;;;;;;;;-7,223063;-35,887382;Não;;;;;;
Delegacia da Mulher - Guarabira;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Manoel Francisco do Nascimento;s/n;;Nordeste I;Guabira;PB;58200-000;83;32712986;32714199;;Não;08:00;14:00;Dias úteis;Sim;Sim;Sim;Houve mudança no hórario de atendimento;-6,85458;-35,479257;Não;;;;;;
Delegacia da Mulher - Paraíba;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Dom Pedro II;414;;Centro;João Pessoa;PB;58040-440;83;32185317;;;;;;;;;;;-7,122728;-34,879781;Não;;;;;;
Delegacia da Mulher - Patos;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Elías Asfora;803;;Jardim Guanabara;Patos;PB;58701-300;83;34232237;;;;;;;;;;;-7,035257;-37,284839;Não;;;;;;
Delegacia da Mulher - Jaboatão dos Guararapes;DEAM;público;Delegacia da Mulher;mapa_delegacia;Estrada;da Batalha;s/n;;Prazeres;Jaboatão dos Guararapes;PE;54315-010;81;31843446;31847198;2delmulher@policiacivil.pe.gov.br;;;;;;;;;-8,155787;-34,922626;Não;;;;;;
Delegacia Especializada de Atendimento à Mulher - Surubim;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Santos Dumont;85;;Centro;Surubim;PE;55750-000;81;36241987;36241983;7delmulher@policiacivil.pe.gov.br;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-7,844447;-35,757808;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia Especializada de Atendimento à Mulher e Vulneráveis - Paulista;DEAMV;público;Delegacia da Mulher;mapa_delegacia;Praça;Frederico Lundgren;s/n;;Centro;Paulista;PE;53401-220;81;31847077;31847072;5delmulher@policiacivil.pe.gov.br;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-7,939436;-34,883495;Sim;Sim;Sim;Não;Sim;Sim;
Delegacia Especializada de Atendimento à Mulher  - Santo Amaro;DEAM;público;Delegacia da Mulher;mapa_delegacia;Travessa;Pombal;s/n;;Centro;Santo Amaro;PE;50100-170;81;31843356;;1delmulher@policiacivil.pe.gov.br;Sim;00:00;23:59;Todos os dias;Sim;Sim;Sim;;-8,049193;-34,882648;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia Especializada de Atendimento à Mulher e Vulneráveis - Vitória de Santo Abraão;DEAMV;público;Delegacia da Mulher;mapa_delegacia;Avenida;Henrique de Holanda;1333;;Redenção;Vitória de Santo Abraão;PE;55602-001;81;35268789;35268788;10delmulher@policiacivil.pe.gov.br;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-8,117246;-35,297368;Sim;Sim;Sim;Sim;Sim;Sim;Delegacia fecha para almoço das 12h ás 14h
Delegacia Especializada de Atendimento à Mulher  - Cabo de Santo Agostinho;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rodovia;BR 101;s/n;;Pontezinha;Cabo de Santo Agostinho;PE;54515-015;81;31843413;31843414;14delmulher@policiacivil.pe.gov.br;Não;09:00;17:00;Dias úteis;Sim;Sim;Sim;;-8,2268;-34,97001;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia Especializada de Atendimento à Mulher  - Caruaru;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Dalton Santos;115;;São Francisco;Caruaru;PE;55006-380;81;37199107;37199108;4delmulher@policiacivil.pe.gov.br;Sim;00:00;23:59;Todos os dias;Sim;Sim;Sim;;-8,289133;-35,980988;Sim;Sim;Sim;Sim;Sim;Sim;Plantão 24 horas para emergências. Atendimentos específicos em dias úteis das 8h às 18h.
Delegacia Especializada de Atendimento à Mulher  - Garanhuns;DEAM;público;Delegacia da Mulher;mapa_delegacia;Avenida;Frei Caneca;460;;Centro;Garanhuns;PE;55295-515;87;37618507;;9delmulher@policiacivil.pe.gov.br;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-8,882257;-36,481669;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia Especializada de Atendimento à Mulher - Petrolina;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rodovia;BR 428;s/n;Em frente à Central de Adubos;Dom Avelar;Petrolina;PE;56326-017;87;38666625;;3delmulher@policiacivil.pe.gov.br;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-9,3683328;-40,4878819;Sim;Sim;Sim;Sim;Sim;Sim;Delegacia fecha para almoço das 12h ás 14h
Delegacia Especializada de Atendimento à Mulher e Vulneráveis - Sudeste;DEAMV;público;Delegacia da Mulher;mapa_delegacia;Conjunto;Dirceu Arcoverde;s/n;Por trás do 8º DP;Itararé;Teresina;PI;64077-808;86;32161572;;;Não;08:00;17:30;Dias úteis;Sim;Sim;Sim;;-5,101083;-42,756106;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia de Flagrante de Gênero - Teresina;DFG;público;Delegacia da Mulher;mapa_delegacia;Rua;Coelho de Resende;s/n;;Centro-Sul;Teresina;PI;64001-350;86;32165038;32165042;;;;;;;;;;-5,09539;-42,8054079;Não;;;;;;
