id_estabelecimento,projeto,fonte,nome,sigla,natureza,categoria,abrangencia,descricao,tipo_logradouro,nome_logradouro,numero,numero_sem_numero,complemento,bairro,municipio,cod_IBGE,uf,cep,ddd,telefone1,ramal1,telefone 2,ramal2,whatsapp,e-mail,24horas,horario_inicio,horario_fim,dias_funcionamento,presencial,online,funcionamento_pandemia,obs_pandemia,latitude,longitude,observacao
,penhas,mapa_acolhimento,Centro de Referência Especializado da Assistência Social - Vitória,CREAS,público,Assistência Social,Local,,Avenida,Princesa Isabel,451,,,Centro Ferreira,Vitória,3205309,ES,29050653,27,31321719,,,,,,Não,08:00:00,17:00:00,Dias úteis,,,,Atendimento remoto durante a pandemia,"-20,314284","-40,307179",O atendimento ao público com a abordagem social e/ou visitas é feito de 9h às 15h mediante agendamento via telefone e/ou demanda espontânea.
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada de Atendimento à Mulher - Novo Gama,DEAM,público,Segurança Pública,Local,,Área Especial,Lunabel 3-A,,,Quadra 16,,Novo Gama,5215231,GO,72025065,61,36142784,,,,,,Não,08:00:00,17:00:00,Dias úteis,Sim,Não,Sim,,"-16,083068","-48,068298",Delegacia fecha para almoço das 12h ás 14h
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada da Mulher - Luziânia,DEAM,público,Delegacia da Mulher,Local,,Rua,Benedito Pimentel,1,,,Centro,Luziânia,5212501,GO,72800590,61,36214490,,36223627,,,,Não,08:00:00,17:00:00,Dias úteis,Sim,Não,Sim,,"-16,252882","-47,954459",Delegacia fecha para almoço das 12h ás 14h
,penhas,mapa_acolhimento,Centro de Referência Especializado da Assistência Social - Luziânia,CREAS,público,Assistência Social,Local,,Rua,Santana,78,,Qd 78,Santa Fumal,Luziânia,5212501,GO,72801520,61,39063272,,,,,,,,,,,,,,"-16,262230","-47,962019",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada de Atendimento à Mulher - Valparaíso,DEAM,público,Delegacia da Mulher,Local,,Rua,Oito,,,"Quadra 8, Casa 18",Valparaizo I,Valparaíso,3556305,GO,72870318,61,36298246,,,,,,Não,08:00:00,17:00:00,Dias úteis,,,,,"-16,072137","-47,985046",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia - Santo Antônio do Descoberto,DP,público,Posto de Atendimento em Delegacia Comum,Local,,Quadra,21/22,,,,Área Especial,Santo Antônio do Descoberto,5219753,GO,72900000,61,36260421,,36260289,,,,Não,08:00:00,18:00:00,Dias úteis,Sim,Não,Sim,,"-15,942323","-48,298226",
,penhas,mapa_acolhimento,Defensoria Pública do Estado de Goiás - Águas Lindas de Goiás,DPE,público,Jurídico,Regional,,Rua,19,,,"Lote 1, quadra 25 - Fórum de Águas Lindas",Chácara Coimbra,Águas Lindas de Goiás,5200258,GO,72910000,61,36189452,,,,,,Não,08:00:00,18:00:00,Dias úteis,,,,,"-15,759802","-48,263045",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada em Atendimento à Mulher - Águas Lindas de Goiás,DEAM,público,Delegacia da Mulher,Local,,Quadra,Onze,,,Lote 13,Jardim Querência,Águas Lindas de Goiás,5200258,GO,72910705,61,36130701,,,,,,Não,08:00:00,18:00:00,Dias úteis,Sim,Não,Sim,,"-15,756634","-48,263261",O local fica no mesmo prédio do Conselho Tutelar
,penhas,mapa_acolhimento,Centro de Referência Especializado da Assistência Social - Alexânia,CREAS,público,Assistência Social,Local,,Rua,40,40,,"Qd. 53, Lt. 02",Centro,Alexânia,5200308,GO,72930000,62,33364681,,,,,secr.a.s_creas@alexania.gov.br,Não,07:00:00,17:00:00,Dias úteis,,,,,"-16,084973","-48,507793",
,penhas,mapa_acolhimento,Centro de Referência Especializado da Assistência Social - Planaltina,CREAS,público,Assistência Social,Local,,Rua,G,20,,,QD- St. Leste,Planaltina,5217609,GO,73750010,61,36378102,,,,,creas.planaltinago@gmail.com,Não,08:00:00,17:00:00,Dias úteis,,,,,"-15,453273","-47,602475",Almoço das 12h às 13h
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia de Polícia - Planaltina,DP,público,Posto de Atendimento em Delegacia Comum,Local,,Quadra,179,,,Lote 1,Barrolândia,Planaltina,5217609,GO,73751479,61,36378091,,,,,,,,,,,,,,"-15,621447","-47,722233",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada no Atendimento à Mulher - Formosa,DEAM,público,Delegacia da Mulher,Local,,Rua,Alves de Castro,82,,,Centro,Formosa,5208004,GO,73801140,61,36317793,,36316935,,,,Não,08:00:00,18:00:00,Dias úteis,Sim,Não,Sim,,"-15,538468","-47,337069",
,"mapa_delegacias, penhas",mapa_delegacias,14ª Delegacia Regional de Polícia - Jataí,DP,público,Posto de Atendimento em Delegacia Comum,Regional,,Rua,Doutor Flavinho,200,,"Quadra 41, Lote Prof. Maromba",St. Central,Jataí,5211909,GO,74003010,64,36320711,,,,,,,,,,,,,,"-17,881048","-51,711841",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada no Atendimento à Mulher - Goiânia,DEAM,público,Delegacia da Mulher,Local,,Rua,Vinte e Quatro,203,,"Quadra 49, Lote 27",Setor Central,Goiânia,5208707,GO,74030060,62,32012801,,32012802,,,deam-goiania@policiacivil.go.gov.br,Sim,00:00:00,23:59:00,Todos os dias,Sim,Sim,Sim,,"-16,677386","-49,253529",
,penhas,mapa_acolhimento,Centro de Valorização da Mulher Consuelo Nasser,CEVAM,ONG,Assistência Social,Local,,Rua,Snf 02,,,"Quadra 1a, Lotes de 1 A 4",Setor Norte Ferroviário,Goiânia,5208707,GO,74063060,62,32132233,,,,,cevamgo@gmail.com,sim,00:00:00,23:59:00,Todos os dias,,,,,"-16,657879","-49,261885",
,penhas,mapa_acolhimento,Hospital da Mulher e Maternidade Dona Íris, ,público,Saúde,Local,,Alameda,Emílio Póvoa,165,,,Vila Redencao,Goiânia,5208707,GO,74845250,62,39568888,,,,,,sim,00:00:00,23:59:00,Todos os dias,,,,,"-16,717328","-49,241195",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada no Atendimento à Mulher - Aparecida de Goiânia,DEAM,público,Delegacia da Mulher,Local,,Rua,Paracatu,,,"Quadra 7, Lote 81",Vila Brasilia,Aparecida de Goiânia,5201405,GO,74905590,62,32012642,,,,,,Não,08:00:00,17:30:00,Dias úteis,Sim,Não,Sim,,"-16,737160","-49,282502",Chegar até as 17h00
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada de Atendimento à Mulher - Anápolis,DEAM,público,Delegacia da Mulher,Local,,Rua,Dez de Março,257,,,St. Central,Anápolis,5201108,GO,75020060,62,33282731,,,,,,Não,08:00:00,17:00:00,Dias úteis,Sim,Não,Sim,,"-16,329759","-48,955855",
,penhas,mapa_acolhimento,Vigesima Quarta Companhia da Policia Militar, ,público,Delegacia Comum,Local,,Rua,Laor de Sá Abreu ,,,,Setor Novo Horizonte,Goianápolis,5208400,GO,75170000,62,33411317,,,,,24cipm.3crpm@gmail.com,sim,00:00:00,23:59:00,Todos os dias,,,,,"-16,509709","-49,013291",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia da Mulher - Senador Canedo,DEAM,público,Delegacia da Mulher,Local,,Avenida,Dom Emanuel,,,,Santa Genoveva,Senador Canedo,5220454,GO,75250000,62,32012426,,,,,,Não,08:00:00,17:00:00,Dias úteis,,,,,"-16,684924","-49,114059",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada de Atendimento à Mulher - Trindade,DEAM,público,Delegacia da Mulher,Local,,Alameda,Wilsom Torrano,340,,,Vila Santa Ines,Trindade,2615607,GO,75380000,62,35057539,,,,,,Não,08:00:00,18:00:00,Dias úteis,Sim,Não,Sim,,"-16,655524","-49,493875",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada de Atendimento à Mulher - Itumbiara,DEAM,público,Delegacia da Mulher,Local,,Rua,Dom Emanuel,28,,,St. Central,Itumbiara,5211503,GO,75503270,64,34047711,,34316758,,,,Não,08:00:00,18:00:00,Dias úteis,Sim,Não,Sim,,"-18,418426","-49,217071",Fazer B.O. primeiro na delegacia regionale e é necessário agendamento por telefone para solicitar medida protetivae deve fazer B.O. primeiro na delegacia regional
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia da Mulher - Caldas Novas,DEAM,público,Delegacia da Mulher,Local,,Avenida,Alameda do Contôrno,,,Quadra D,Centro,Caldas Novas,5204508,GO,75690000,64,34546640,,,,,deam.caldas@gmail.com,Não,08:00:00,18:00:00,Dias úteis,Sim,Não,Sim,,"-17,742772","-48,624986",Delegacia fecha para almoço das 12h ás 14h. Necessário agendamento por telefone para fazer B.O. e solicitar medida protetiva
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada no Atendimento à Mulher Catalão,DEAM,público,Delegacia da Mulher,Local,,Rua,Seis,285,,,Mãe de Deus,Catalão,5205109,GO,75702210,64,34411622,,34411623,,,deam.depaicatalaopcgo@gmail.com,Não,08:00:00,18:00:00,Dias úteis,Sim,Não,Sim,,"-18,163686","-47,949350",Chegar até as 16h45
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia de Atendimento à Mulher - Mineiros,DEAM,público,Delegacia da Mulher,Local,,Avenida,Oitava,,,"Quadra K, Lote 3",Setor Costa Nery,Mineiros,5213103,GO,75830000,64,36615729,,36615644,,,,Não,08:00:00,18:00:00,Dias úteis,Sim,Não,Sim,,"-17,560278","-52,553698",
,"mapa_delegacias, penhas",mapa_delegacias,8º Delegacia Regional da Policia Civil de Rio Verde,DP,público,Posto de Atendimento em Delegacia Comum,Regional,,Rua,Guanabara,76,,,St. Pausanes,Rio Verde,5218805,GO,75904015,64,36200950,,,,,,Sim,00:00:00,23:59:00,Todos os dias,Sim,Não,Sim,,"-17,783163","-50,921681","A DDM atende das 07h30 ás 16h30, depois tem o plantão 24hrs, mas não conta com atendimento especializado"
,penhas,mapa_acolhimento,Centro de Referência Especializado da Assistência Social Vida Nova,CREAS,público,Assistência Social,Local,,Rua,João Altino Arantes,58,,,58,Acreúna,5200134,GO,75960000,64,36458016,,,,,creasvidanova@hotmail.com,Não,08:00:00,17:00:00,Dias úteis,,,,,"-17,397761","-50,375015",Almoço das 11h30 às 13h30
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada no Atendimento à Mulher - Goianésia,DEAM,público,Delegacia da Mulher,Local,,Avenida,Brasil,967,,,Centro,Goianésia,5208608,GO,76380000,62,33531127,,33534821,,,,Não,08:00:00,18:00:00,Dias úteis,,,,,"-15,326506","-49,116457",
,penhas,mapa_acolhimento,Centro de Referência Especializado da Assistência Social - Goianésia,CREAS,público,Assistência Social,Local,,Rua,33,839,,,Setor Sul,Goianésia,5208608,GO,76382205,62,33535125,,,,,creasgoianesia1720@gmail.com,Não,07:00:00,17:00:00,Dias úteis,,,,,"-15,326399","-49,117324",Almoço das 11h às 13h
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia de Polícia - Uruaçu,DP,público,Posto de Atendimento em Delegacia Comum,Local,,Avenida,Rio Branco,10,,,Vila Santana,Uruaçu,5221601,GO,76400000,62,33571020,,33572477,,,,Não,08:00:00,18:00:00,Dias úteis,,,,,"-14,525422","-49,137483",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada no Atendimento à Mulher – Porangatu,DEAM,público,Delegacia da Mulher,Local,,Rua,Quatro,56,,"Quadra 4, Lote 7/15",Setor Vera Lúcia,Porangatu,5218003,GO,76550000,62,33625903,,33625906,,,,Não,08:00:00,14:00:00,Dias úteis,Sim,Não,Sim,,"-13,443852","-49,137843",
,penhas,mapa_acolhimento,Centro de Referência Especializado da Assistência Social - Formosa,CREAS,público,Assistência Social,Local,,Rua,8 A,8,,,Setor Primavera,Formosa,5208004,GO,73813140,61,39811084,,,,,creasformosa@yahoo.com.br,Não,08:00:00,17:00:00,Dias úteis,,,,Atendimento remoto durante a pandemia,"-15,542568","-47,330095",Em casos específicos o atendimento é feito presencialmente ou encaminhado diretamente para a Casa das Hortências (Casa de Acolhimento).
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada no Atendimento à Mulher – Goiania (Região Noroeste),DEAM,público,Delegacia da Mulher,Local,,Avenida,do Povo com Rua E,,,"Quadra 10, Lote 101",Jardim Curitiba-II,Goiânia,5208707,GO,74480110,62,32016344,,32016332,,,2deam-goiania@policiacivil.go.gov.br,Não,08:00:00,18:00:00,Dias úteis,Sim,Sim,Sim,Presencialmente só está sendo atendido casos emergenciais,"-16,605668","-49,338720",
,penhas,mapa_acolhimento,Coordenadoria Estadual da Mulher Em Situação de Violência Doméstica e Familiar do Tribunal de Justiça do Maranhão,CEVID,público,Jurídico,Regional,,Rua,Do Egito,167,,,Centro,São Luís,2111300,MA,65010190,98,32616284,,32616282,,,,,,,,,,,,"-2,527099","-44,302978",
,penhas,mapa_acolhimento,Defensoria Pública do Estado do Maranhão - São Luis,DPE,público,Jurídico,Regional,,Rua,Da Estrela,421,,,Praia Grande,São Luis,2111300,MA,65010200,98,32315819,,32216110,,,,,,,,,,,,"-2,529500","-44,305490",
,penhas,mapa_acolhimento,Centro de Referência de Atendimento à Mulher Em Situação de Violência da Capital,CRAM,público,Centro de Referência da Mulher,Local,,Avenida,Beira-mar,524,,,Centro,São Luís,2111300,MA,65010655,98,32123206,,,,,,,,,,,,,,"-2,526821","-44,306993",
,penhas,mapa_acolhimento,Hospital Maternidade Marly Sarney, ,público,Saúde,Regional,,Avenida,Jerônimo de Albuquerque,,,,Cohab Anil,São Luís,2111300,MA,65050175,98,32444934,,,,,,Sim,00:00:00,23:59:00,Todos os dias,,,,,"-2,540780","-44,219000",
,penhas,mapa_acolhimento,Secretaria de Estado da Mulher, ,público,Direitos Humanos,Regional,,Avenida,Colares Moreira,09,,,Calhau,São Luís,2111300,MA,65075440,98,32353393,,,,,semu@semu.ma.gov.br,,,,,,,,,"-2,504885","-44,294690",
,penhas,mapa_acolhimento,Casa da Mulher Brasileira de São Luis, ,público,Casa da Mulher Brasileira,Local,,Avenida,Professor Carlos Cunha,572,,,Jaracaty,São Luís,2111300,MA,65076820,98,31980100,,,,,,Sim,00:00:00,23:59:00,Todos os dias,,,,,"-2,515650","-44,290062",
,penhas,mapa_acolhimento,Vara Especial de Violência Doméstica e Familiar Contra a Mulher de São Luis, ,público,Jurídico,Regional,,Avenida,Professor Carlos Cunha,,,,Calhau,São Luís,2111300,MA,65076820,98,31945400,,31945695,,,,,,,,,,,,"-2,494565","-44,278628",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especial da Mulher - São Luís,DEAM,público,Delegacia da Mulher,Local,,Avenida,Professor Carlos Cunha,572,,Casa da Mulher Brasileira,Jaracaty,São Luís,2111300,MA,65076820,98,32148649,,32148651,,,kktanaka10@gmail.com,Sim,00:00:00,23:59:00,Todos os dias,Sim,Sim,Sim,,"-2,515650","-44,290062",
,penhas,mapa_acolhimento,Hospital da Mulher, ,público,Saúde,Local,,Avenida,Dos Portugueses,,,,Anjo da Guarda,São Luís,2111300,MA,65085581,98,32282623,,23147300,,,,Sim,00:00:00,23:59:00,Todos os dias,,,,,"-2,561204","-44,315635",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada no Atendimento à Mulher - Rosário,DEAM,público,Delegacia da Mulher,Local,,Rua,Padre Possidônio Monteiro,,,,Centro,Rosário,2109601,MA,65150000,98,33451913,,,,,pollys21@hotmail.com,,,,,,,,,"-2,940583","-44,255868",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada no Atendimento à Mulher - Pinheiro,DEAM,público,Delegacia da Mulher,Local,,Rua,Dom Pedro I,,,,João Castelo,Pinheiro,2108603,MA,65200000,98,33811334,,,,,,,,,,,,,,"-2,531280","-45,093260",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada no Atendimento à Mulher - Viana,DEAM,público,Delegacia da Mulher,Local,,Rua,Vinagre,,,2-242,Centro,Viana,2112803,MA,65215000,98,33511599,,,,,,,,,,,,,,"-3,202120","-44,991842",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada no Atendimento à Mulher - Santa Inês,DEAM,público,Delegacia da Mulher,Local,,Rua,Nova,320,,,Centro,Santa Inês,2109908,MA,65300000,98,36531589,,,,,,,,,,,,,,"-3,660389","-45,379557",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada no Atendimento à Mulher - Zé Doca,DEAM,público,Delegacia da Mulher,Local,,Rua,Penalva,761,,,São Francisco,Zé Doca,2114007,MA,65365000,98,36555350,,36553662,,,reg.zedoca8@hotmail.com,,,,,,,,,"-3,264699","-45,654144",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada no Atendimento à Mulher - Codó,DEAM,público,Delegacia da Mulher,Local,,Rua,Trinta e Um de Março,,,,São Pedro,Codó,2103307,MA,65400000,99,36611721,,,,,,,,,,,,,,"-4,457833","-43,895804",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada no Atendimento à Mulher - Itapecuru Mirim,DEAM,público,Delegacia da Mulher,Local,,Travessa,Doutor Salomão Figuene,59,,,Centro,Itapecuru Mirim,2105401,MA,65485000,98,34631511,,,,,,,,,,,,,,"-3,397504","-44,363120",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada no Atendimento à Mulher - Chapadinha,DEAM,público,Delegacia da Mulher,Local,,Rua,Gonçalves Dias,,,,São José,Chapadinha,2103208,MA,65500000,98,34713760,,,,,,,,,,,,,,"-3,734809","-43,362429",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada no Atendimento à Mulher - Caxias,DEAM,público,Delegacia da Mulher,Local,,Praça,do Pantheon,,,,Centro,Caxias,2103000,MA,65602000,99,35212561,,,,,,,,,,,,,,"-4,863307","-43,365597",
,penhas,mapa_acolhimento,Centro de Referência de Atendimento à Mulher de Caxias,CRAM,público,Centro de Referência da Mulher,Local,,Rua,Riachuelo,189,,,Centro,Caxias,2103000,MA,65606620,99,35215399,,,,,,,,,,,,,,"-4,865499","-43,361700",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada no Atendimento à Mulher - Timon,DEAM,público,Delegacia da Mulher,Local,,Avenida,Viana Vaz,186,,,Centro,Timon,2112209,MA,65630150,99,32127171,,,,,,,,,,,,,,"-5,096996","-42,826758",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada no Atendimento à Mulher - São João dos Patos,DEAM,público,Delegacia da Mulher,Local,,Rua,Gonçalves Moreira,766,,,Centro,São João dos Patos,2111102,MA,65665000,99,35512402,,,,,reg.saojoaodospatos12@hotmail.com,,,,,,,,,"-6,497085","-43,706731",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especial da Mulher - Bacabal,DEAM,público,Delegacia da Mulher,Local,,Rua,Eurico Gaspar Dutra,,,,Centro,Bacabal,2101202,MA,65700000,99,36211331,,,,,,,,,,,,,,"-4,229283","-44,785630",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada no Atendimento à Mulher - Pedreiras,DEAM,público,Delegacia da Mulher,Local,,Rua,Messias Filho,,,,Engenho,Pedreiras,2108207,MA,65725000,99,36422450,,,,,,,,,,,,,,"-4,587343","-44,586323",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada no Atendimento à Mulher - Presidente Dutra,DEAM,público,Delegacia da Mulher,Local,,Rua,Henrique Coelho,,,,Vila Militar,Presidente Dutra,2109106,MA,65760000,99,36633502,,,,,,,,,,,,,,"-5,295583","-44,499051",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada no Atendimento à Mulher - Balsas,DEAM,público,Delegacia da Mulher,Local,,Avenida,Juscelino Kubitscheck,,,,São Luís,Balsas,2101400,MA,65800000,99,35412402,,35412495,,,,,,,,,,,,"-7,507588","-46,041121",
,penhas,mapa_acolhimento,Vara Especial de Violência Doméstica e Familiar Contra a Mulher de Impreatriz, ,público,Jurídico,Regional,,Rua,Frei Manuel Procópio,51,,,Centro,Imperatriz,2105302,MA,65900040,99,35254689,,,,,,,,,,,,,,"-5,531847","-47,489072",
,penhas,mapa_acolhimento,Centro de Referência de Atendimento à Mulher de Imperatriz,CRAM,público,Centro de Referência da Mulher,Local,,Rua,Pará,102,,,,Imperatriz,2105302,MA,65907120,99,34611488,,,,,,,,,,,,,,"-5,522415","-47,486974",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada no Atendimento à Mulher - Imperatriz,DEAM,público,Delegacia da Mulher,Local,,Rua,Sousa Lima,167,,,Centro,Imperatriz,2105302,MA,65907150,99,35246722,,35251545,211,,deam.10reg@hotmail.com,,,,,,,,,"-5,525289","-47,489018",
,penhas,mapa_acolhimento,Centro de Referência de Atendimento à Mulher de Açailândia,CRAM,público,Centro de Referência da Mulher,Local,,Avenida,Edilson Caridade Ribeiro,,,,Residência Tropical,Açailândia,2100055,MA,65930000,,,,,,,,,,,,,,,,"-4,951191","-47,475789",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada no Atendimento à Mulher - Açailândia,DEAM,público,Delegacia da Mulher,Local,,Rua,Marly Sarney,,,,Centro,Açailândia,2100055,MA,65930000,99,35382199,,35384092,,,,,,,,,,,,"-4,950251","-47,500219",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada no Atendimento à Mulher - Barra do Corda,DEAM,público,Delegacia da Mulher,Local,,Avenida,Missionário Perrin Smith,171,,,Vila Canadá,Barra do Corda,2101608,MA,65950000,99,36432852,,,,,,,,,,,,,,"-5,508604","-45,254779",
,penhas,mapa_acolhimento,Centro de Referência Especializado da Assistência Social - Estreito,CREAS,público,Assistência Social,Local,,Rua,Alexandre Milhomem,,,,Centro,Estreito,2104057,MA,65975000,,,,,,,,Não,08:00:00,17:00:00,Dias úteis,,,,,"-6,560540","-47,450714",Almoço das 12h às 13h
,penhas,mapa_acolhimento,Ouvidoria da Mulher, ,público,Ouvidoria,Regional?,,,,,,,,São Luís,2111300,MA,,98,32353415,,08000984241,,,ouvidoria@semu.ma.gov.br,Sim,00:00:00,23:59:00,Todos os dias,,sim,,Atendimento virtual,"-2,530672","-44,298895",
,penhas,mapa_acolhimento,Centro Risoleta Neves de Atendimento Às Mulheres Vítimas de Violência Doméstica Ou Intrafamiliar (cerna),CRAM,público,Centro de Referência da Mulher,Local,,Avenida,Amazonas,558,,,Centro,Belo Horizonte,3106200,MG,30180000,31,32703201,,,,,,Não,08:00:00,18:00:00,Dias úteis,,,,,"-19,919535","-43,939916",
,penhas,mapa_acolhimento,Defensoria Pública Especializada Na Defesa Dos Diretos Das Mulheres Em Situação de Violência ,NUDEM,público,Jurídico,Regional,,Rua,Araguari,210,,5o Andar,Preto,Belo Horizonte,3106200,MG,30190110,31,20103171,,,,,,,,,,,,,,"-19,919988","-43,948614",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia da Mulher - Belo Horizonte,DEAM,público,Delegacia da Mulher,Local,,Avenida,Barbacena,288,,,Barro Preto,Belo Horizonte,3106200,MG,30190130,31,33374899,,,,,coordenacaodemid@gmail.com,,,,,,,,,"-19,921259","-43,955065",
,penhas,mapa_acolhimento,Centro Especializado de Atendimento à Mulher - Benvinda,CRAM,público,Centro de Referência da Mulher,Local,,Rua,Hermilo Alves,34,,,Santa Tereza,Belo Horizonte,3106200,MG,31010070,31,32774380,,,,,benvindacentrodeapoio@pbh.gov.br,Não,09:00:00,17:00:00,Dias úteis,,,,,"-19,917358","-43,925961",
,penhas,mapa_acolhimento,Centro de Referência da Mulher - Espaço Bem-me-quero,CRAM,público,Centro de Referência da Mulher,Local,,Rua,José Carlos Camargos,218,,,Centro,Contagem,3118601,MG,32040600,31,33527543,,,,,psicossocial.ebmq@gmail.com,Não,08:00:00,17:00:00,Dias úteis,,,,,"-19,918473","-44,078035",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia da Mulher - Contagem,DEAM,público,Delegacia da Mulher,Local,,Rua,Manoel Teixeira de Camargos,63,,,Eldorado,Contagem,3118601,MG,32340040,31,33917953,,,,,mulheres.contagem@pc.mg.gov.br,,,,,,,,,"-19,934075","-44,045684",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia da Mulher - Ibirite,DEAM,público,Delegacia da Mulher,Local,,Avenida,Otacilio Negrão de Lima,468,,,Centro,Ibirité,3129806,MG,32400000,31,32577354,,,,,informacao.deamibirite@gmail.com,,,,,,,,,"-20,021952","-44,063268",
,penhas,mapa_acolhimento,Centro de Referência Especializado da Assistência Social - Betim,CREAS,público,Assistência Social,Local,,Rua,Santa  Cruz,17,,,Brasileia,Betim,3106705,MG,32600255,31,35939619,,,,,creas1.betim.mg@hotmail.com,Não,08:00:00,17:00:00,Dias úteis,,,,,"-19,974413","-44,197659",
,penhas,mapa_acolhimento,Centro de Referência e Atendimento à Mulher - Betim,CRAM,público,Centro de Referência da Mulher,Local,,Rua,Carandaí,87,,,Chácara Betim,Betim,3106705,MG,32670324,31,35911581,,,,,creambetim@yahoo.com,Não,08:00:00,17:00:00,Dias úteis,,,,,"-19,963513","-44,186495",
,penhas,mapa_acolhimento,Centro de Referência Especializado da Assistência Social - Betim,CREAS,público,Assistência Social,Local,,Rua,Quintino Bacaiuva,95,,,Bairro Chácara,Betim,3106705,MG,32670332,31,35321182,,,,,protecaosocialespecialbetim@gmail.com,Não,08:00:00,17:00:00,Dias úteis,,,,,"-19,963250","-44,184201",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada de Atendimento à Mulher - Vespasiano,DEAM,público,Delegacia da Mulher,Local,,Rua,Modestino Fonseca Cota,369,,,Jardim Itau,Vespasiano,3171204,MG,33200546,31,36210512,,,,,camilasoaresteixeira@yahoo.com.br,Não,08:30:00,18:30:00,Dias úteis,Sim,Sim,Sim,,"-19,695356","-43,928791",
,penhas,mapa_acolhimento,Centro de Referencia da Mulher Reviver,CRAM,público,Centro de Referência da Mulher,Local,,Rua,Pinto Alves,395,,,Brant,Lagoa Santa,3137601,MG,33400000,31,36881453,,36881300,,,,,,,,,,,,"-19,623902","-43,894907",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada de Atendimento à Mulher - Ribeirão Neves,DEAM,público,Delegacia da Mulher,Local,,Rua,Luiza Augusta Guimarães,150,,,São Pedro,Ribeirão das Neves,3154606,MG,33805550,31,36244709,,,,,deopf.neves@gmail.com,Não,08:30:00,17:30:00,Dias úteis,Sim,Sim,Sim,,"-19,771171","-44,090953",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada de Atendimento à Mulher - Nova Lima,DEAM,público,Delegacia da Mulher,Local,,Rua,Joviano Assis Fonseca,41,,,Cariocas,Nova Lima,3144805,MG,34000000,31,35424172,,,,,1dpnovalima@gmail.com,Não,08:00:00,18:00:00,Dias úteis,Sim,Sim,Sim,,"-19,983774","-43,863446",
,penhas,mapa_acolhimento,Centro de Referência e Atendimento à Mulher - Nova Lima,CRAM,público,Centro de Referência da Mulher,Local,,Rua,Druaantônino Fonseca Júnior,88,,,Rosário,Nova Lima,3144805,MG,34000099,31,35425918,,,,,coordenadoriamulhernl@pnl.mg.gov.br,Não,08:00:00,17:00:00,Dias úteis,,,,,"-19,982919","-43,849037",
,penhas,mapa_acolhimento,Centro de Referência Especializado da Assistência Social - Sabará,CREAS,público,Assistência Social,Local,,Praça,João Antero Lopes,112,,,Centro,Sabará,3156700,MG,34505410,31,36727696,,,,,creas@sabara.mg.gov.br,Não,08:00:00,17:00:00,Dias úteis,,,,,"-19,890535","-43,808780",
